정답 (front),문제 (back),과목 이름 (선택사항)
acquiesce,묵인하다; 동의하다,영어
acrimonious,신랄한; 독설적인,영어
ameliorate,개선하다; 향상시키다,영어
arcane,비밀의; 신비한; 잘 알려지지 않은,영어
bucolic,전원의; 목가적인,영어
cacophony,불협화음; 소음,영어
capricious,변덕스러운; 예측할 수 없는,영어
circumlocution,우회적인 표현; 에둘러 말하기,영어
cogent,설득력 있는; 명확한,영어
conundrum,수수께끼; 어려운 문제,영어
dearth,부족; 결핍,영어
debacle,대실패; 붕괴,영어
delineate,설명하다; 묘사하다,영어
disparate,전혀 다른; 이질적인,영어
ebullient,활기찬; 열정적인,영어
egregious,극도로 나쁜; 터무니없는,영어
ephemeral,덧없는; 일시적인,영어
equivocate,모호하게 말하다; 얼버무리다,영어
erudite,박학다식한; 심오한 지식을 가진,영어
esoteric,난해한; 소수만 아는,영어
exacerbate,악화시키다; 심화시키다,영어
fastidious,까다로운; 세심한,영어
fathom,이해하다; 파악하다,영어
filibuster,의사진행 방해; 장황한 연설로 시간 끌기,영어
flummox,당황하게 하다; 혼란스럽게 하다,영어
garrulous,수다스러운; 말이 많은,영어
grandiloquent,과장된; 웅변조의,영어
harangue,장황한 연설; 설교,영어
hegemony,패권; 지배권,영어
indelible,지울 수 없는; 영원한,영어
ineffable,말로 표현할 수 없는; 형언할 수 없는,영어
inimitable,독특한; 모방할 수 없는,영어
insidious,교활한; 잠식하는,영어
juxtapose,나란히 놓다; 대조하다,영어
laconic,간결한; 함축적인,영어
lassitude,무기력; 피로,영어
loquacious,말이 많은; 수다스러운,영어
lugubrious,슬픈; 침울한,영어
mellifluous,부드럽고 달콤한; 듣기 좋은,영어
mendacious,거짓말하는; 허위의,영어
mercurial,변덕스러운; 불안정한,영어
meticulous,꼼꼼한; 세심한,영어
misanthrope,인간 혐오자; 사람을 싫어하는 사람,영어
myopic,근시안적인; 통찰력이 부족한,영어
obfuscate,혼란스럽게 하다; 모호하게 하다,영어
obsequious,아첨하는; 알랑거리는,영어
ostensible,표면상의; 외관상의,영어
panacea,만병통치약; 모든 문제의 해결책,영어
pedantic,지나치게 학구적인; 현학적인,영어
penurious,인색한; 궁핍한,영어
perfunctory,의례적인; 무성의한,영어
pernicious,해로운; 파괴적인,영어
perspicacious,통찰력 있는; 예리한,영어
pertinent,적절한; 관련 있는,영어
platitude,진부한 말; 뻔한 표현,영어
plethora,과잉; 지나치게 많음,영어
pragmatic,실용적인; 현실적인,영어
precipitate,촉발하다; 서두르다,영어
prevaricate,말을 얼버무리다; 거짓말하다,영어
prodigious,엄청난; 놀라운,영어
prolific,다작하는; 풍부한,영어
propensity,경향; 성향,영어
prophetic,예언적인; 미래를 내다보는,영어
prosaic,산문체의; 평범한,영어
quixotic,비현실적인; 이상주의적인,영어
raucous,시끄러운; 귀에 거슬리는,영어
recalcitrant,저항하는; 다루기 힘든,영어
reticent,과묵한; 말수가 적은,영어
ruminate,숙고하다; 곰곰이 생각하다,영어
sagacious,현명한; 통찰력 있는,영어
salient,두드러진; 중요한,영어
salutary,유익한; 건전한,영어
sardonic,비꼬는; 냉소적인,영어
sartorial,의복에 관한; 옷차림의,영어
satiate,만족시키다; 배부르게 하다,영어
soporific,졸리게 하는; 지루한,영어
stoic,감정을 억제하는; 극기의,영어
superfluous,불필요한; 과잉의,영어
sycophant,아첨꾼; 알랑거리는 사람,영어
taciturn,과묵한; 말수가 적은,영어
tangential,관련성이 적은; 주제에서 벗어난,영어
tautology,동어반복; 불필요한 반복,영어
tenuous,희박한; 얇은,영어
ubiquitous,어디에나 있는; 보편적인,영어
unctuous,과장되게 친절한; 기름진,영어
vacillate,망설이다; 우유부단하다,영어
venerate,존경하다; 숭배하다,영어
verbose,장황한; 말이 많은,영어
vicissitude,변화; 변천,영어
vitriolic,신랄한; 맹렬한,영어
vociferous,시끄러운; 목소리가 큰,영어
zeitgeist,시대정신; 시대의 분위기,영어
zenith,정점; 절정,영어 
