정답 (front),문제 (back),과목 이름 (선택사항)
세포,생물체의 구조적·기능적 기본 단위는?,생물학
미토콘드리아,세포 내에서 에너지를 생산하는 소기관의 이름은?,생물학
엽록체,식물 세포에서 광합성이 일어나는 장소는?,생물학
리보솜,단백질 합성이 일어나는 세포 소기관은?,생물학
골지체,단백질을 수정하고 운반하는 세포 소기관은?,생물학
DNA,유전 정보를 저장하는 핵산의 이름은?,생물학
RNA,DNA에서 단백질 합성으로 정보를 전달하는 핵산은?,생물학
세포막,세포의 외부 경계를 형성하고 물질 교환을 조절하는 구조는?,생물학
핵,세포 내에서 유전물질(DNA)이 저장되어 있는 곳은?,생물학
염색체,DNA와 단백질로 구성된 유전 물질 단위는?,생물학
유전자,DNA의 특정 부분으로 단백질 합성 정보를 담고 있는 것은?,생물학
ATP,세포의 에너지 화폐 역할을 하는 분자는?,생물학
효소,생화학 반응을 촉진시키는 단백질은?,생물학
아미노산,단백질의 기본 구성 단위는?,생물학
인슐린,혈당을 낮추는 호르몬은?,생물학
글루카곤,혈당을 높이는 호르몬은?,생물학
항상성,생물체가 내부 환경을 일정하게 유지하는 능력은?,생물학
적응,환경 변화에 대응하여 생존과 생식에 유리하게 발달한 특성은?,생물학
자연선택,환경에 더 적합한 개체가 생존하고 번식하는 진화적 과정은?,생물학
유전,부모로부터 자손에게 특성이 전달되는 과정은?,생물학
돌연변이,유전 물질(DNA)의 변화는?,생물학
감수분열,생식세포 형성을 위한 세포분열로 염색체 수가 절반으로 줄어드는 과정은?,생물학
유전적 다양성,같은 종 내에서 개체 간 유전적 차이를 보이는 것은?,생물학
광합성,식물이 빛 에너지를 이용해 이산화탄소와 물로부터 포도당을 만드는 과정은?,생물학
세포호흡,포도당을 분해하여 에너지(ATP)를 생성하는 과정은?,생물학
생태계,생물과 이를 둘러싼 환경과의 상호작용 체계는?,생물학
식물계,광합성을 하며 자체적으로 영양분을 생산하는 생물 분류군은?,생물학
동물계,다른 생물을 섭취하여 에너지를 얻는 다세포 생물 분류군은?,생물학
생물다양성,한 지역 내 다양한 생물종의 존재를 나타내는 용어는?,생물학
면역계,병원체로부터 몸을 보호하는 방어 시스템은?,생물학
항체,체내에 침입한 특정 항원에 결합하여 면역 반응을 일으키는 단백질은?,생물학
백혈구,면역 체계에서 병원체에 대항하는 혈액 세포는?,생물학
백신,특정 질병에 대한 면역력을 형성하기 위해 접종하는 물질은?,생물학
알레르기,면역 체계가 일반적으로 무해한 물질에 과민반응을 보이는 현상은?,생물학
호르몬,특정 세포나 기관에 정보를 전달하는 화학 물질은?,생물학
신경계,뇌와 척수, 말초신경을 포함하는 정보 전달 및 처리 시스템은?,생물학
뉴런,신경계의 기본 단위인 신경 세포는?,생물학
시냅스,뉴런 간 신호를 전달하는 접합부는?,생물학
심장,혈액을 펌프질하는 중심 순환 기관은?,생물학
혈액,산소와 영양분을 운반하는 체액은?,생물학
적혈구,혈액에서 산소를 운반하는 세포는?,생물학
폐,공기를 흡입하여 산소와 이산화탄소를 교환하는 호흡 기관은?,생물학
신장,혈액을 여과하고 노폐물을 제거하는 기관은?,생물학
간,독소를 해독하고 대사를 조절하는 주요 기관은?,생물학
췌장,소화 효소와 호르몬을 분비하는 기관은?,생물학
유전공학,DNA를 조작하여 유전적 특성을 변화시키는 기술은?,생물학
GMO,유전자 조작을 통해 변형된 생물체는?,생물학
생물정보학,생물학적 데이터를 분석하는 컴퓨터 기술은?,생물학
진화론,생물의 변화와 종 분화를 설명하는 이론은?,생물학
종,서로 교배하여 생식 가능한 자손을 만들 수 있는 생물 집단은?,생물학
분류학,생물을 체계적으로 분류하는 학문은?,생물학
현미경,매우 작은 대상을 확대하여 관찰할 수 있는 도구는?,생물학 
